url,position_name,salary,city,experience,education,job_dec
https://www.zhipin.com/job_detail/56b129e79df6db2a1XJ70ty9Flo~.html,Python,8K-16K,苏州,3-5年,本科,"后端研发工程师 ,千军易得一将难求，或将改变你我一生,技能要求:,1、熟练使用python， 熟练使用Django开发框架， 熟练使用MySQL、redist。 ,2、了解小程序， 了解js、jQuery。 ,3、熟悉docker,了解git。,4、 有接口安全开发经验。 了解项目部署。,岗位职责:,1、负责后台核心模块的架构设计和开发、单元测试、功能自测； ,2、负责项目架构的制定和优化，开拓和引入新的技术； ,3、负责项目后端业务逻辑开发，与技术团队交流协作； ,4、负责初、中级工程师的培养。 ,职位要求： ,1、本科及以上学历，计算机相关专业，基础知识扎实； ,2、聪明，学习能力强，有独立解决问题的能力； ,3、三年以上的系统软件架构经验，精通Python/Go/Java/C++ 任一语言，有完整软件项目开发、迭代和实施经验； ,4、良好的编程习惯，追求极致的代码品质，熟悉常用设计模式和一般项目的开发流程； ,5、开朗上进，积极沟通，善于团队协作。"
https://www.zhipin.com/job_detail/107985acda6bd39b1X150t20F1M~.html,Python开发苏州,8K-15K,苏州,3-5年,本科,"求熟悉任意一种数据库mysql/oracle/mongodb，对数据结构有一定理解  熟悉ruby、c、c++、tcl ,python  其中任何一种语言都可以，前期是脚本开发"
https://www.zhipin.com/job_detail/e4a5e0a1341bc8bb1XZ92t-7FVQ~.html,Python,9K-12K,苏州,3-5年,本科,"负责云平台管理软件开发，要求：,对云计算有一定了解或者对网管软件有一定了解优先,熟练使用java、java，tomcat，具备后台开发经验,熟悉redis，熟悉常见开发框架ssm,具有较强的学习能力和独立开展工作的能力"
https://www.zhipin.com/job_detail/9cfd8b78bf1c85ff1XN83dS0F1M~.html,python开发工程师,6K-12K,苏州,1-3年,大专,"岗位职责：,1、负责运维系统开发；,2、设计开发高可靠性系统架构和运维工具，提高运维工作效率。,任职要求：,1、具有2年以上互联网领域相关项目开发设计工作经验；,2、熟练掌握jquery或CSS、Javascript等Web页面技术, 熟悉bootstrap者优先；,3、熟悉Python, 熟悉Django框架；,4、熟悉Linux操作系统或自动化运维者优先。"
https://www.zhipin.com/job_detail/c49383102b7909fa1Xxz39i4Elo~.html,Python工程师,6K-9K,苏州,不限,本科,"1、Python分布式web爬虫开发，维护爬虫工作状态，断点重爬、续爬，攻克网站反爬虫机制，多维、深层次遍历抓取海量数据,2、设计合理数据仓库高效率存储爬取数据，爬下的数据或文本进行数据清洗、过滤关键数据、去除冗余数据"
https://www.zhipin.com/job_detail/4e89122aa93ceb951X1-2tW4ElE~.html,python开发,5K-10K,苏州,1-3年,本科,"岗位职责：,1、负责公司系统的功能开发；,2、负责公司项目数据抓取、分析；,3、参与产品接口设计规范的制定与优化管理。,岗位要求：,1、具有良好团队合作精神有高度的责任心，克服在工作中遇到的各种难题； ,2、至少熟悉Django，Flask，Tornado框架中的一种或多种，有 Django-REST-framework相关开发经验；,3、了解JavaScript，jquery，bootstrap，VUE.js等框架前端开发，有前后端分离项目架构经验者优先 ；,4、有丰富的数据库建模经验，有MySql/MongoDB/Redis使用经验者优先 ；,5、熟练使用代码版本管理工具git ； ,6、对Python其他方向新技术有浓厚的兴趣，并积极合理的将其引入项目。"
https://www.zhipin.com/job_detail/138a28f7355346b91XJz0tS_E1s~.html,Python开发工程师,10K-18K,苏州,3-5年,本科,"岗位职责： ,1、负责产品服务器端设计和代码实现 ；,2、优化现有产品的功能和体验细节 ；,3、积极调研新技术，随时准备用于产品 ；,岗位要求： ,1、具有良好团队合作精神，有高度的责任心，能在开发过程中把控代码质量 ；,2、3年以上Web服务器端开发经验， 2年以上python服务端开发经验，有做过saas平台，大并发经验优先 ；,3、有丰富的数据库建模经验，有MySQL、MongoDB、Redis使用经验者优先 ；,4、了解各种常见算法并能灵活运用 ；,5、了解 linux系统（CentOS）常规操作 ；,6、有系统优化或重构经验优先 ；,7、对行业新技术有浓厚的兴趣，并积极合理的将其引入项目； ,8、有自己的开源项目、或者对开源项目有贡献者优先 ；,9、有微服务架构设计与开发经验优先 ；"
https://www.zhipin.com/job_detail/2ca872d47f17bcbe1Xdz39W4FFY~.html,java/python开发工程师,8K-16K,苏州,3-5年,本科,"任职要求：,1.3年以上软件开发经验;,2.熟悉java或者python语言, 熟悉spring, spring mvc或者flask等框架,3.熟悉RESTful, 熟悉java或python技术栈下的RESTful应用开发,4.熟悉sql，了解MySQL, Oracle数据库，了解基本的sql优化，有sql调优经验者优先,5.了解并熟悉redis, rabbitmq, solr等组件在项目中的使用,6.了解常用的数据结构，算法及设计模式，具有良好的编程习惯，对OOD/OOP有自己的理解,7.熟练使用maven，git，idea等开发工具者优先，熟练使用linux, bash, shell者优先,8.善于学习和与人沟通，有较强的事业心和逻辑思维，具有独立分析、解决应用问题的能力"
https://www.zhipin.com/job_detail/7ff2ca64842c6b8d1Xx92tS4F1I~.html,python后端开发工程师,8K-12K,苏州,3-5年,本科,"岗位职责：,1、负责新产品的各个功能模块的开发，并且提供基于RESTful API接口；	,2、对代码质量负责，参与实现高质量、稳定的应用	；,3、维护已上线产品并可以根据新需求做迭代开发；	,4、完善系统日志，优化系统性能；	,5、编写核心代码以及相关文档说明	；,6、有责任心，有能力对需求进行正确客观的评估；	,7、具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力。	,岗位要求：,1、本科学历，2年以上互联网工作经验；,2、熟悉并熟练使用python语言，熟练使用Django框架；,3、了解HTML5、CSS3、JavaScript以及相关的前端工具；,4、熟悉MySQL数据库，了解Redis、MongoDB；,5、深刻理解数据结构和算法设计，有系统分析和设计实践经验。	,6、具有一定分析问题和解决问题的能力，学习能力强，优秀的职业素养和较强的沟通能力，自我驱动，独立有创造力。"
https://www.zhipin.com/job_detail/e5ef1eb5097f81620XN909i9GA~~.html,Python，教育应用软件开发工程师,13K-15K,苏州,3-5年,本科,"职位职责：,教育学习应用软件开发,职位要求：,1.精通python语言开发；,2.熟悉python web 开发框架，如Django、Flask、Tornado等；,3.掌握linux开发环境和shell脚本；,4.有分布式运算开发、机器学习相关经验者优先；,5.具有很好的代码编写能力和良好的代码编程习惯；,6.具备高度的责任感，良好的团队精神，能善于发现和解决问题；"
https://www.zhipin.com/job_detail/1a461d41bb391f351XV62du_ElU~.html,Python开发工程师,10K-20K,苏州,1-3年,本科,"岗位职责,1.负责Web后端服务的技术开发工作；,2.与Web前端工程师合作完成公司产品的整体Web端；,3.与后端工程师合作完成公司整套产品的实现；,任职资格,1.正规985院校本科以上学历，计算机相关专业；,2.至少1年以上Python开发经验，有Odoo开发经验优先；,3.精通Linux和服务器管理,4.理解数据库原理，熟练编写各种SQL语句，有数据库索引、性能优化经验；,5.熟悉前端技术，如HTML、CSS、JavaScript等优先；,6.具有独立完成工作的能力，同时重视团队协作，有学习能力和创新能力，追求极致性能。,薪资待遇,1、优厚薪资：底薪+五险一金+节假日福利+生日福利+年度旅游+绩效奖金+年终奖,2、完善假期：法定假期+双休+带薪假日+弹性工作制,3、丰富活动：员工聚餐+团队建设+旅游活动+优秀员工表彰+总经理特别奖表彰,4、培训课程：在职个人提升,5、晋升体系：广阔职业发展空间,6、工作环境：周边办公环境优美、食堂品类丰富、靠近地铁站"
https://www.zhipin.com/job_detail/683c65d7ab68a6471nB-29S_EVQ~.html,Python工程师,10K-18K,苏州,不限,大专,"岗位职责：,1、具有独立项目管理能力，熟悉研发及协作流程；,2、完成带领团队完成数据采集爬取、解析提取、清洗入库等数据生产工作；,3、设计和开发内部工具，帮助AI工程师加速工作；,4、良好的沟通协作技巧，能够involve其他人一起工作；,5、自主、独立设计、完成团队内部的工具、平台、创新技术产品。,任职要求：,1、大专以上学历，计算机相关专业；,2、精通Python；熟悉大数据存储和处理操作,3、熟悉 MySQL、Redis等后端组件的使用，了解基本的设计、优化原则；,4、熟悉 Linux 的使用和管理，了解操作系统相关知识；,5、熟悉 SVN、Jenkins、等持续集成和部署工具；,6、热衷性能分析与调优，积极使用新技术提升工作效率；,7、良好的团队合作精神与责任感，较好的沟通能力。"
https://www.zhipin.com/job_detail/480aea70631e16cd1n180tq5GVY~.html,Python工程师,8K-16K,苏州,不限,本科,"学习能力要强！,喜欢新技术喜欢，熟悉linux系统,熟悉Python各类基本库，具备一定C/C++编程基础，有良好的编程习惯,熟悉虚拟化技术、熟悉网络知识、有良好的操作系统基础,深入理解OpenStack核心组件,职位职责：,参与公司基于OpenStack的基础云平台项目的设计、开发、实施；,负责云平台中虚拟化、分布式存储、虚拟化网络等子项目的具体设计和研发；,负责基础云平台的基础技术运维和支持，根据项目需求二次定制平台功能；,参与云平台的实施，保障所负责子项目的设计合理性和系统可用性；,负责子项目的设计、开发、测试和运维等相关文档的编写。"
https://www.zhipin.com/job_detail/6f97f64c8cd13c261XV83dS9F1Q~.html,Python,15K-20K,苏州,5-10年,硕士,"职位描述：,      负责人脸识别深度学习算法的调研和研究，负责相关网络模型的优化工作。,职位要求：,1. 精通python，熟练掌握c/c++。,2. 熟悉至少一种深度学习框架，优先考虑tensorflow，其次caffe。对深度学习框架的底层实现有一定程度的了解。 ,3. 熟悉常见的人脸识别和目标检测网络模型：faster-rcnn，rfcn，ssd等，具有相关产品落地经验者优先。,4. 模式识别及相关专业硕士及以上学历。"
https://www.zhipin.com/job_detail/6e3e827357aedf661XV639u0F1E~.html,Python,10K-20K,苏州,3-5年,硕士,"有些路 一个人无法走远 总得有人并肩作战 这就是我们需要你的原因,     我们需要你:,1、负责产品服务器端设计和代码实现 ；,2、优化现有产品的功能和体验细节；,3、积极调研新技术，随时准备用于产品 。,    我们期待遇见这样的你:,1、具有良好团队合作精神，有高度的责任心；,2、3年以上Python Web开发经验，开发语言Python, 了解lua，熟悉Web系统全站开发流程 ；,3、有丰富的数据库建模经验，有MongoDB、Redis使用经验者优先 ；, 4、熟练使用代码版本管理工具，git 优先 ； , 5、对行业新技术有浓厚的兴趣，并积极合理的将其引入项目；, 6、有自己的开源项目、或者对开源项目有贡献者优先 。  ,在这里，你将拥有——    ,一群让你为之骄傲的小伙伴：    热情坚定、乐于分享、自我驱动、追求极致的高效团队    自由平等的潜力平台：    , 福利体系（这只是一部分）：   , 每周两次零食水果下午茶：随便吃，妈妈再也不用担心你长不胖    ,生日会：全体伙伴陪你过 不让你孤单    ,社团：花样运动...... 总有人与你志同道合   , 学习成长：Mentor带你全方位成长，助你成为专业人才 ,    欢迎你来发现更多的精彩......"
https://www.zhipin.com/job_detail/894d0680d47147df1X173t-8FlM~.html,Python数据开发工程师,7K-10K,苏州,1-3年,本科,"任职要求：,1、熟悉python的数据处理库工具；,2、至少一年python语言开发经验；,3、有良好的数理基础，有较强的学习意识，有一定的算法基础；,4、硕士优先考虑,工作职责：,对数据中心的数据进行数据处理和分析等"
https://www.zhipin.com/job_detail/a1ff3ae9ca2dbe011nJy09W0GQ~~.html,Python,8K-16K,苏州,1-3年,本科,"# 技能要求,- Python及常用库,- Javascript、PLV8,- Database：PostgreSQL、Oracle、SQL Server,- OpenResty、Lua,- Redis,# 业务领域,- 达索Apriso实施,- 码博MES开发及实施,- 码博设备监控系统开发及实施"
https://www.zhipin.com/job_detail/1c244c0461ed541e1XJ52tS4FlQ~.html,高级Python工程师,10K-20K,苏州,1-3年,本科,"职位描述：,岗位职责： ,1、负责产品服务器端设计和代码实现 ；,2、优化现有产品的功能和体验细节 ；,3、积极调研新技术，随时准备用于产品 ；,岗位要求： ,1、具有良好团队合作精神，有高度的责任心，能在开发过程中把控代码质量 ；,2、3年以上Web服务器端开发经验， 2年以上python服务端开发经验，有做过saas平台，大并发经验优先 ；,3、有丰富的数据库建模经验，有MySQL、MongoDB、Redis使用经验者优先 ；,4、了解各种常见算法并能灵活运用 ；,5、了解 linux系统（CentOS）常规操作 ；,6、有系统优化或重构经验优先 ；,7、对行业新技术有浓厚的兴趣，并积极合理的将其引入项目； ,8、有自己的开源项目、或者对开源项目有贡献者优先 ；,9、有微服务架构设计与开发经验优先 ；"
https://www.zhipin.com/job_detail/bc9026cd131747cb1XB_2ty6GVQ~.html,Python初级工程师,5K-8K,苏州,1-3年,本科,"岗位职责：,1、负责公司项目Python开发工作；,2、负责公司项目数据抓取、分析；,3、参与产品接口设计规范的制定与管理。,任职要求：,1、大专以上学历，计算机相关专业；,2、熟练掌握python编程；,3、熟悉python常用爬虫框架，熟悉数据爬取及反爬技术；,4、熟悉MySQL数据库；,5、了解常用python数据分析工具及方法，有数据分析经验者优先,可接受实习生。"
https://www.zhipin.com/job_detail/f9415ccc433ad9061XJ939i7EFc~.html,Python开发工程师,8K-12K,苏州,1-3年,本科,"岗位职责：,1.负责产品核心后端服务API Gateway的设计、开发、优化；,2.对外提供 SDK 和 API,  并且能提供Authentication, Rate limit等方案；,任职要求：,1. 具有良好的逻辑和理解能力，基本的沟通表达能力；,2. 2~3年Python经验，有Django、Flask等主流Web框架项目实际开发经验；,3. 熟悉MySQL等关系数据库和其他如MongoDB、Redis、Celery等的开发和优化；,4. 了解常见Linux环境（CentOS、Ubuntu等）下项目、代码的部署和运维；,5. 有自己的开源项目或技术博客、对开源项目有贡献等优先；,6. 有ReactJS、Vue等前端经验者优先。"
https://www.zhipin.com/job_detail/8a7a8b79b89d12551XZ-3968GFo~.html,Python,10K-20K,苏州,1-3年,本科,用python编写自动化测试系统软件，了解射频仪器者优先，熟练使用C语言者优先
https://www.zhipin.com/job_detail/df8af97bc0201fb41XR409y8Elo~.html,Python,10K-20K,苏州,1-3年,本科,有python大数据爬虫相关经验，数据处理
https://www.zhipin.com/job_detail/a34de66fa3816af81nJ42du4ElE~.html,Python,4K-8K,苏州,3-5年,本科,负责公司python组工作，日常抓取、数据处理、任务分配等
https://www.zhipin.com/job_detail/2a7fd70bf6280a601Xx739q8FlU~.html,python开发,5K-9K,苏州,1-3年,不限,"工作职责：,1、负责公司信息化平台建设、运维自动化平台及其组件的设计和开发；,2、负责优化、改进运维支持系统，并保证其安全高效稳定的运行；,3、参与运营平台、运维系统的需求分析、设计、编码；,4、负责开发、完善运维内部系统及辅助系统，提升运维质量及效率；,任职要求：,1.两年以上开发经验，具有设计，性能优化经验，良好的编码规范；,2.熟练掌握Python Web框架 如Django，Flask, Twisted，Tornado等；,3.熟练使用多线程、Socket编程，以及HTTP REST协议；,4.有自动化运维意识，多人开发及版本控制管理经验；,5. 熟悉网络虚拟化技术, 有OpenStack, VMWare构建虚拟化平台经验优先."
https://www.zhipin.com/job_detail/6ba41a2503c25d381XB52ty5E1M~.html,Python,10K-20K,苏州,5-10年,不限,"1、熟悉面向对象设计思想以及网站开发流程； ,2、精通Python语言，熟练使用Django框架；,3、精通对web和app端的api开发； ,4、精通各类加密算法，对安全维护有研究,5、熟悉MySQL，mangoDB等各类数据库；,6、熟悉服务器搭建、部署维护,7、全栈工程师优先；,任职要求：,1、分析产品需求，从技术角度对产品进行解读；,2、完成相关网站开发工作； ,3、对所开发的功能进行测试并撰写完善的开发文档； ,4、持续重构与维护网站功能。"
https://www.zhipin.com/job_detail/8f3a32a4c1c0fe931XJ-3N24GFU~.html,python开发工程师,12K-20K,苏州,3-5年,大专,"工作职责:,1. 负责信息安全相关系统开发，实现信息安全日常工作的自动化,2. 负责公司安全相关产品的功能模块的设计与开发,任职资格:,1.独立开发、解决问题能力,2.3年及以上python开发经验，有golang/lua开发经验者优先,3.熟练掌握Django, Flask，Celery等主流框架,4.熟练Mongodb，MySQL，Redis,5.熟练Linux日常工作环境，熟悉常用shell命令,6.对新技术有强烈的探索欲望，能够承受工作压力，有强烈的责任心,7.有jumpserver二次开发经验者优先"
https://www.zhipin.com/job_detail/4851c349f8a40eb01XV809W5FVA~.html,Python开发工程师,13K-18K,苏州,3-5年,大专,"Python开发工程师岗位职责：,1、开发公司的数据管理系统；,2、完成带领团队完成数据采集爬取、解析提取、清洗入库等数据生产工作；,3、研究网页特点和规律，对网页信息进行分类、抽取、数据清洗、存储结构等研发和优化工作。,岗位要求：,1. 熟悉 Linux 开发环境，熟练使用 Shell，使用git进行版本控制管理,2. 熟练使用 Python 进行抓取及格式化信息提取,3. 熟悉 高并发、高性能优化,4. 熟悉 网络协议,5. 熟悉 HTTP协议，熟悉 HTML，JavaScript，XPath,6. 熟悉django tornado flask 任一python开发框架，懂代码调试并能持续优化；,7. 熟练使用mysql，熟悉mysql的工作原理，有丰富的mysql性能优化经验；并有mongodb.redis等常用数据库的使用经验,8. 从事 Python 开发 2年及以上,9. 优良的代码注释习惯，并能编写有条理的开发文档。,10. 对新技术有强烈的探索欲望，能够承受工作压力，有强烈的责任心；对技术精进有要求，愿意学习大数据相关知识，并付诸实践"
https://www.zhipin.com/job_detail/700b74a2a54443e31nR909-6ElE~.html,Python初中级数据工程师,5K-10K,苏州,1-3年,本科,"岗位职责：,负责公司数据集成平台引擎的代码编写及实现；,负责公司数据分析平台的算法实现；,任职资格：,1、精通Python,熟悉python 多线程和多进程以及文件IO操作；,2、熟悉MySQL/MongoDB/Greeplum/Hive数据库;,3、熟悉PEP Python Database API，能够对数据库进行抽取写入操作;,4、有一定的数学功底，良好的英语阅读和理解能力;,5、熟悉Python Flask、Django web框架或PHP优先;"
https://www.zhipin.com/job_detail/2a167c15dfded51b1XZ63di-FVU~.html,python开发工程师,5K-10K,苏州,1-3年,不限,"1 有python和tornado或者Django相关项目的工作经验,2 熟悉全栈的优先，包括jquery，html5，NOSQL，Mongodb等,3 本公司的产品是面向制造业的管理系统，有实体企业工作经验的优先,4 未来会培养为主力研发工程师,5 工作地点在苏州，本地或本地定居的优先。如果地方比较远可考虑soho，弹性工作制。"
https://www.zhipin.com/job_detail/0441c7b2a35761a91Xx62tq0E1I~.html,Python运维开发工程师,8K-16K,苏州,1-3年,本科,"岗位职责：,1、负责游戏运维的工具系统开发和大数据分析的后台支持工作；,2、负责基础架构服务的上线部署、升级调试和优化工作；,3、协助开发人员进行系统测试、压力测试和参数调优等；,3、负责整改和优化现有的技术栈，自动化一切、code化一切，并参与到运维平台的开发建设中。,任职要求：,1、具有2年以上互联网领域相关项目开发设计工作经验；,2、熟悉Python/Django框架；,3、熟悉Linux操作系统或自动化工具saltstack/ansible。,加分项：,1、扎实的python基础，熟悉框架更佳；,2、对docker理解深刻，能够玩转热门的容器生命周期管理平台（k8s、swarm或rancher）；,3、赞同CI/CD的思想，并对发布流程、发布策略、分支管理等有自己的理解和看法；,4、自我驱动、持续改进。"
https://www.zhipin.com/job_detail/e667b232617da4691Xdz2ty8F1I~.html,Python开发工程师,8K-16K,苏州,1-3年,本科,"职位信息 ,1、熟悉 Linux 系统、 Python 和 shell 编程;负责web应用开发的技术工作。 ,2、了解 flask/django/tornado框架一种及以上。,3、熟悉关系型数据库（MySQL、PostgreSQL）的使用与基本设计优化方法。,4、有良好的团队合作精神，有责任感，沟通能力良好；良好的编码风格及测试习惯。 ,岗位要求： ,1、熟练 Flask、Django 框架，语言经验在两年或以上，基本功扎实，熟练使用标准库，如pandas，Numpy，matplotlib 等。 ,2、掌握数据分析工具和二次开发优先（Superset、 Jupyter notebook、Kylin等）。,3、具备Web应用系统设计与开发经验者优先。 ,4、使用Superset实现报表开发，对 Jupyter notebook数据源访问进行封装开发。"
https://www.zhipin.com/job_detail/ff371834c311425b0n152ty_Fw~~.html,Python服务端（游戏）开发工程师,8K-12K,苏州,1-3年,本科,"岗位职责：,1.根据策划需求负责游戏服务端功能开发与维护；,2.服务端系统架构的设计；,3.优化游戏服务器性能；,岗位要求：,1.专科或以上学历，计算机相关专业； ,2.熟悉Python语言，有1年以上的Python实际项目经验；,3.熟悉多线程、多进程、socket、数据库等相关技术；,4.掌握redis、MongoDB、Mysql等数据库开发及优化；,5.计算机操作系统及网络基础知识扎实，能够判断、处理常见的网络故障； ,6.良好技术文档归纳能力；能够阅读英文技术资料； ,7.有游戏服务端开发经验优先；"
https://www.zhipin.com/job_detail/70675a586ef1be281XB_2t-8FFY~.html,Python高级工程师,12K-20K,苏州,3-5年,本科,"岗位在苏州或北京,工作职责：,1. 具有独立项目管理能力，熟悉研发及协作流程；,2.完成带领团队完成数据采集爬取、解析提取、清洗入库等数据生产工作；,3. 设计和开发内部工具，帮助AI工程师加速工作；,4. 良好的沟通协作技巧，能够involve其他人一起工作；,5. 自主、独立设计、完成团队内部的工具、平台、创新技术产品。,任职要求：,1、精通Python；熟悉大数据存储和处理操作,2、熟悉 MySQL、Redis等后端组件的使用，了解基本的设计、优化原则；,3、熟悉 Linux 的使用和管理，了解操作系统相关知识；,4、熟悉 SVN、Jenkins、等持续集成和部署工具；,5、热衷性能分析与调优，积极使用新技术提升工作效率；,6、良好的团队合作精神与责任感，较好的沟通能力。"
https://www.zhipin.com/job_detail/5dce1d2011ee497f1Xx62928EFo~.html,Python,5K-6K,苏州,1-3年,大专,"1、负责运维系统开发；,2、设计开发高可靠性系统架构和运维工具，提高运维工作效率。,任职要求：,1、具有2年以上互联网领域相关项目开发设计工作经验；,2、熟练掌握jquery或CSS、Javascript等Web页面技术, 熟悉bootstrap者优先；,3、熟悉Python, 熟悉Django框架；,4、熟悉Linux操作系统或自动化运维者优先。"
https://www.zhipin.com/job_detail/0bd5ac844377a7331XZ829i7FVc~.html,Python后端工程师,8K-15K,苏州,1-3年,本科,"岗位职责：,1、负责新产品的各个功能模块的开发，并且提供基于RESTful API接口	,2、对代码质量负责，参与实现高质量、稳定的应用	,3、维护已上线产品并可以根据新需求做迭代开发	,4、完善系统日志，优化系统性能	,5、编写核心代码以及相关文档说明	,6、有责任心，有能力对需求进行正确客观的评估	,7、具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力	,岗位要求：,1、本科学历，2年以上互联网工作经验,2、熟悉并熟练使用python语言，熟练使用Django框架；了解HTML5、CSS3、JavaScript以及相关的前端工具；熟悉MySQL数据库，了解Redis、MongoDB；深刻理解数据结构和算法设计，有系统分析和设计实践经验。	,3、具有一定分析问题和解决问题的能力，学习能力强，优秀的职业素养和较强的沟通能力，自我驱动，独立有创造力"
https://www.zhipin.com/job_detail/ac753f17cabbd4081XN-0tW7EVc~.html,高级Python开发工程师,12K-24K,苏州,3-5年,本科,"岗位职责： ,1、负责产品服务器端设计和代码实现 ；,2、优化现有产品的功能和体验细节 ；,3、积极调研新技术，随时准备用于产品 ；,岗位要求： ,1、具有良好团队合作精神，有高度的责任心，能在开发过程中把控代码质量 ；,2、3年以上Web服务器端开发经验， 2年以上python服务端开发经验，有做过saas平台，大并发经验优先 ；,3、有丰富的数据库建模经验，有MySQL、MongoDB、Redis使用经验者优先 ；,4、了解各种常见算法并能灵活运用 ；,5、了解 linux系统（CentOS）常规操作 ；,6、有系统优化或重构经验优先 ；,7、对行业新技术有浓厚的兴趣，并积极合理的将其引入项目； ,8、有自己的开源项目、或者对开源项目有贡献者优先 ；,9、有微服务架构设计与开发经验优先 ；"
https://www.zhipin.com/job_detail/8efa8098fa21ba761XZ53Nm8F1E~.html,高级Python工程师,15K-30K,苏州,3-5年,不限,"职位描述,1、负责后台应用服务的架构设计、开发、优化工作。,2、负责后台大数据分析处理的架构设计，开发。,3、负责后台其他业务的开发；, ,职位要求,1、本科及以上学历，计算机相关专业，具有一定的后台服务架构、开发以及性能调优能力；,2、三年或以上Python语言后端开发经验，或前端开发经验；,3、精通TCP/IP协议相关知识，精通网络编程，精通HTTP等网络应用协议；,4、熟悉MySQL以及SQL语言，熟悉NoSQL存储；,5、有大数据平台开发或高性能网络系统方面相关工作经验优先；,6、有开源代码阅读和剖析经验优先；,7、具备良好的分析解决问题能力，能独立承担任务主动好学，责任心强；,8、有多种语言开发经验优先。"
https://www.zhipin.com/job_detail/f8f44583e86146851XN60t24GVU~.html,Python开发工程师,7K-14K,苏州,1-3年,本科,"1.	全日制大学本科及以上学历，计算机相关专业,2.	两年以上Python开发经验，熟练掌握Python3，对Python元编程有一定的理解和实践，有独立设计大规模数据处理和分析系统的经验和能力,3.	熟悉PostgreSQL、MySQL、Oracle等至少一种主流关系型数据库及Mongodb等NoSQL数据库，能够通过Python进行数据库数据处理，有大数据处理经验（使用过Spark等大数据工具）优先,4.	熟悉Linux工作环境，拥有编写shell脚本能力 ,5.	有参与和设计过优化存储软件系统经验佳,6.	有区块链行业背景佳,7.	善于学习和团队合作精神,岗位职责：,1.	负责公司智子云产品的相关软件开发，升级和维护,2.	参与公司Python技术栈的基础设施研发,3.	参与需求分析，交付设计文档，任务分解，估算开发工作量并按时交付,4.	根据设计文档编写代码、调试，测试和维护"
https://www.zhipin.com/job_detail/6cc349d5c928caa51Xd93tW-FFU~.html,Python开发工程师,5K-8K,苏州,1年以内,大专,"Python要求：,1. 计算机相关专业本科以上学历；,2. 熟悉Python，1年以上Python编程经验，愿意深入学习；,3. 熟悉Django开发框架；,4. 了解各种Web前端技术，包括HTML/CSS/JavaScript等；,5. 熟悉MySQL/数据建模，数据处理调优，熟悉Cassandra.Mongodb等NoSQL数据库更佳；,6. 熟悉Linux环境下的开发；,7. 熟悉常用的版本控制软件，如：SVU/GIT;,8. 工作认真，责任心强，能承受工资压力。"
https://www.zhipin.com/job_detail/5d1ab190cc400fe01nJ62NW4FlI~.html,Python开发工程师,7K-14K,苏州,1-3年,本科,"1）1年以上Python开发经验,2）熟练掌握面向对象思想及常用设计模式,3）熟悉至少一种流行的Python框架，比如： Django / Flask / Tornado / Requests / SQLAlchemy / Celery / Haystack 等,4）熟悉Linux操作系统,5）能独立完成功能模块的接口设计和开发工作,6）逻辑清晰，能面对挑战，有责任心，有优秀的沟通能力和团队合作精神,7）良好的编码风格及测试习惯,8）对新技术等极强的快速学习能力,9）有数据分析和挖掘经验者更佳,10）熟悉并掌握其他编程语言者更佳"
https://www.zhipin.com/job_detail/39773e239d75fd1f1nJ73du8FlY~.html,Python,8K-15K,苏州,1-3年,本科,"职位要求： ,1.计算机相关专业，本科及以上学历;,2.熟练掌握基本算法与数据结构;,3.具有优良的编码风格和习惯；,4.熟悉HTTP、TCP/IP协议，RESTful规范；,5.熟悉Linux开发环境, zsh/vim/git者优先；,6.良好的 Ruby或者Python/PHP语言基础及开发/重构能力优先；,7.具有良好的英语书面表达能力, 过6级者优先；,8.熟练使用 Ruby On Rails或Flask，Django, Laravel等主流开发框架者优先;,9.了解Postgresql、Mysql、Redis、Memcached等数据库及缓存的使用和基本原理者优先；"
